Sentence ID,Sentence,Sentiment,Sentiment Label,Arousal,Dominance,# Words Found,Found Words,All Words
1,"Shlykov, a hard-working taxi driver and Lyosha, a saxophonist, develop a bizarre love-hate relationship, and despite their prejudices, realize they aren't so different after all.",5.33875,neutral,4.51,5.1762500000000005,8 out of 12,"['taxi', 'driver', 'develop', 'bizarre', 'relationship', 'prejudice', 'realize', 'neg-different']","['shlykov', 'taxi', 'driver', 'lyosha', 'saxophonist', 'develop', 'bizarre', 'relationship', 'despite', 'prejudice', 'realize', 'different']"
2,"As punishment for a past rebellion, each district must provide a boy and girl between the ages of 12 and 18 selected by lottery for the annual Hunger Games.",5.4314285714285715,neutral,4.530714285714286,4.859285714285714,14 out of 14,"['punishment', 'past', 'rebellion', 'district', 'must', 'provide', 'boy', 'girl', 'age', 'select', 'lottery', 'annual', 'hunger', 'game']","['punishment', 'past', 'rebellion', 'district', 'must', 'provide', 'boy', 'girl', 'age', 'select', 'lottery', 'annual', 'hunger', 'game']"
3,"In court, Nandagopal Maarar , a close friend of Induchoodan and a famous supreme court lawyer, appears for Menon and manages to lay bare the murder plot and hidden intentions of other party .",5.054,neutral,4.35,5.316,15 out of 20,"['court', 'close', 'friend', 'famous', 'supreme', 'court', 'lawyer', 'appear', 'manage', 'lay', 'bare', 'murder', 'plot', 'intention', 'party']","['court', 'nandagopal', 'maarar', 'close', 'friend', 'induchoodan', 'famous', 'supreme', 'court', 'lawyer', 'appear', 'menon', 'manage', 'lay', 'bare', 'murder', 'plot', 'hidden', 'intention', 'party']"
4,The Kid learns of this when he returns to the home after a late night to find the home deserted and money gone.,6.383636363636364,positive,4.385454545454546,5.817272727272727,11 out of 11,"['kid', 'learn', 'return', 'home', 'late', 'night', 'find', 'home', 'desert', 'money', 'go']","['kid', 'learn', 'return', 'home', 'late', 'night', 'find', 'home', 'desert', 'money', 'go']"
5,"In October 1982, Lindy is found guilty and sentenced to life imprisonment with hard labour, while Michael is found guilty as an accessory and given an 18-month suspended sentence.",5.140909090909091,neutral,4.2309090909090905,5.442727272727272,11 out of 16,"['find', 'guilty', 'sentence', 'life', 'imprisonment', 'hard', 'find', 'guilty', 'accessory', 'give', 'sentence']","['october', 'lindy', 'find', 'guilty', 'sentence', 'life', 'imprisonment', 'hard', 'labour', 'michael', 'find', 'guilty', 'accessory', 'give', 'suspended', 'sentence']"
6,"While reviewing film of the assassination at his house, Thomas discovers that Stevens handed the assassin a gun during the president's entrance.",5.069090909090909,neutral,4.863636363636363,5.242727272727272,11 out of 12,"['review', 'film', 'assassination', 'house', 'discover', 'hand', 'assassin', 'gun', 'president', 'president', 'entrance']","['review', 'film', 'assassination', 'house', 'thomas', 'discover', 'stevens', 'hand', 'assassin', 'gun', 'president', 'entrance']"
7,"When police arrive, they discover that Natasha's father thought she was with her mother, while the mother thought the girl was with her father.",6.751,positive,4.62,5.7940000000000005,10 out of 11,"['police', 'arrive', 'discover', 'father', 'think', 'mother', 'mother', 'think', 'girl', 'father']","['police', 'arrive', 'discover', 'natasha', 'father', 'think', 'mother', 'mother', 'think', 'girl', 'father']"
8,"This fuels the kids to work even harder on their productions and the neighborhood comes together even more to help finance the show, despite the school authorities' ban.",5.449166666666667,neutral,4.5424999999999995,5.86,12 out of 17,"['fuel', 'kid', 'work', 'production', 'neighborhood', 'come', 'help', 'finance', 'show', 'school', 'authority', 'ban']","['fuel', 'kid', 'work', 'even', 'harder', 'production', 'neighborhood', 'come', 'together', 'even', 'help', 'finance', 'show', 'despite', 'school', 'authority', 'ban']"
9,"Willoughby is hired to give radio speeches, guided by Mitchell who is promised $100 a week to write his speeches, paid by the newspaper's publisher, D.B.",6.02,positive,3.910833333333333,5.9558333333333335,12 out of 14,"['hire', 'give', 'radio', 'speech', 'guide', 'promise', 'week', 'write', 'speech', 'pay', 'newspaper', 'publisher']","['willoughby', 'hire', 'give', 'radio', 'speech', 'guide', 'mitchell', 'promise', 'week', 'write', 'speech', 'pay', 'newspaper', 'publisher']"
10,"Buzz can only see parts of Woody's body, and, in a somewhat gruesome scene, thinks that he's been dismembered, so he sweeps him into a trap door to get rid of him.",5.109090909090909,neutral,3.9718181818181817,5.358181818181818,11 out of 15,"['see', 'part', 'body', 'gruesome', 'scene', 'think', 'sweep', 'trap', 'door', 'get', 'rid']","['buzz', 'see', 'part', 'woody', 'body', 'somewhat', 'gruesome', 'scene', 'think', 'dismember', 'sweep', 'trap', 'door', 'get', 'rid']"
